rating,cost,name,description,address,phone_number,google_maps_url,type
3.8,2,Aqua Adventures Rentals,Rent a variety of water equipment at Aqua Adventures Rentals and explore the vibrant marine life of Tahiti.,Aqua Adventures Rentals%%% Paea%%% Tahiti%%% French Polynesia,+689 54321098,https://maps.google.com/?q=-17.7258%%%-149.3153,rentals
4.1,2,Tropical Treasures Market,Discover hidden gems at Tropical Treasures Market%%% featuring local crafts%%% souvenirs%%% and unique finds.,Tropical Treasures Market%%% Pirae%%% Tahiti%%% French Polynesia,+689 43210987,https://maps.google.com/?q=-17.5187%%%-149.5723,shopping
4.3,3,Cultural Fusion Festival,Immerse yourself in the diverse cultures of Tahiti at the Cultural Fusion Festival%%% showcasing music%%% dance%%% and art.,Cultural Fusion Festival%%% Arue%%% Tahiti%%% French Polynesia,+689 32109876,https://maps.google.com/?q=-17.5374%%%-149.5162,culture
4.8,4,Sunset Serenity Resort,Experience serenity at Sunset Serenity Resort%%% where each room offers breathtaking views of the Tahitian sunset.,Sunset Serenity Resort%%% Punaauia%%% Tahiti%%% French Polynesia,+689 21098765,https://maps.google.com/?q=-17.5790%%%-149.6153,hotels
4.4,3,Hidden Gem Nature Reserve,Explore the untouched beauty of Hidden Gem Nature Reserve%%% a tranquil oasis away from the hustle and bustle.,Hidden Gem Nature Reserve%%% Papara%%% Tahiti%%% French Polynesia,+689 10987654,https://maps.google.com/?q=-17.7478%%%-149.4729,nature
3.9,2,Sunrise Serenade Beach,Experience the magic of sunrise at Sunrise Serenade Beach%%% a peaceful haven to start your day in Tahiti.,Sunrise Serenade Beach%%% Punaauia%%% Tahiti%%% French Polynesia,+689 98765432,https://maps.google.com/?q=-17.5891%%%-149.6245,beaches
4,1,Harborview Grill,Indulge in a culinary delight at Harborview Grill%%% offering panoramic views of the Tahitian harbor.,Harborview Grill%%% Mahina%%% Tahiti%%% French Polynesia,+689 87654321,https://maps.google.com/?q=-17.5132%%%-149.4978,restaurants
4.7,3,Enchanted Forest Expedition,Embark on a mystical journey through the Enchanted Forest Expedition%%% surrounded by ancient trees and magical landscapes.,Enchanted Forest Expedition%%% Papeete%%% Tahiti%%% French Polynesia,+689 76543210,https://maps.google.com/?q=-17.5314%%%-149.5707,hiking
3.6,2,Aqua Thrills Rentals,Feel the thrill with Aqua Thrills Rentals%%% offering jet skis%%% parasailing%%% and other exciting water activities in Tahiti.,Aqua Thrills Rentals%%% Paea%%% Tahiti%%% French Polynesia,+689 65432109,https://maps.google.com/?q=-17.7316%%%-149.3079,rentals
4.5,2,Exotic Market Bazaar,Explore the Exotic Market Bazaar%%% a lively market with a diverse array of exotic fruits%%% spices%%% and handmade crafts.,Exotic Market Bazaar%%% Pirae%%% Tahiti%%% French Polynesia,+689 54321098,https://maps.google.com/?q=-17.5231%%%-149.5721,shopping
4.2,3,Cultural Mosaic Festival,Immerse yourself in the vibrant Cultural Mosaic Festival%%% celebrating the rich tapestry of Tahitian traditions.,Cultural Mosaic Festival%%% Arue%%% Tahiti%%% French Polynesia,+689 43210987,https://maps.google.com/?q=-17.5362%%%-149.5143,culture
4.9,4,Luxury Lagoon Retreat,Indulge in luxury at the Luxury Lagoon Retreat%%% featuring overwater villas and a private lagoon.,Luxury Lagoon Retreat%%% Punaauia%%% Tahiti%%% French Polynesia,+689 32109876,https://maps.google.com/?q=-17.5758%%%-149.6101,hotels
4.3,3,Wildlife Wonderland Reserve,Discover the wonders of Tahitian wildlife at the Wildlife Wonderland Reserve%%% a sanctuary for rare species.,Wildlife Wonderland Reserve%%% Papara%%% Tahiti%%% French Polynesia,+689 21098765,https://maps.google.com/?q=-17.7585%%%-149.4852,nature
